BJD	BJD0	Porb	E	O-C (days)	err.	source
2448378.410666 	2451659.481968 	0.41695902	-7869	-0.02077362	0.0015	the literature
2451642.821768 	2451659.481968 	0.41695902	-40	0.0181608	0.009	the literature
2451643.638768 	2451659.481968 	0.41695902	-38	0.00124276	0.005	the literature
2451659.485768 	2451659.481968 	0.41695902	0	0.0038	0.004	the literature
2451660.711768 	2451659.481968 	0.41695902	3	-0.02107706	0.008	the literature
2451661.579768 	2451659.481968 	0.41695902	5	0.0130049	0.004	the literature
2452726.475677 	2451659.481968 	0.41695902	2559	-0.00442318	0.0004	AAVSO
2452731.473444 	2451659.481968 	0.41695902	2571	-0.01016442	0.00056	AAVSO
2452733.563985 	2451659.481968 	0.41695902	2576	-0.00441852	0.00047	AAVSO
2452734.383195 	2451659.481968 	0.41695902	2578	-0.01912656	0.00066	AAVSO
2452736.479860 	2451659.481968 	0.41695902	2583	-0.00725666	0.00048	AAVSO
2452737.308008 	2451659.481968 	0.41695902	2585	-0.0130267	0.00065	AAVSO
2452776.533245 	2451659.481968 	0.41695902	2679	0.01806242	0.00051	AAVSO
2452777.351859 	2451659.481968 	0.41695902	2681	0.00275838	0.00045	AAVSO
2452780.668749 	2451659.481968 	0.41695902	2689	-0.01602378	0.006	the literature
2452781.508957 	2451659.481968 	0.41695902	2691	-0.00973382	0.00074	AAVSO
2452781.515749 	2451659.481968 	0.41695902	2691	-0.00294182	0.005	the literature
2453803.455725 	2451659.481968 	0.41695902	5142	-0.02952384	0.0005	AAVSO
2453810.559812 	2451659.481968 	0.41695902	5159	-0.01374018	0.0006	AAVSO
2453831.424209 	2451659.481968 	0.41695902	5209	0.00270582	0.00059	AAVSO
2453838.496886 	2451659.481968 	0.41695902	5226	-0.01292052	0.00032	AAVSO
2454599.428506 	2451659.481968 	0.41695902	7051	-0.03151202	0.00043	AAVSO
2454600.286302 	2451659.481968 	0.41695902	7053	-0.00763406	0.00085	AAVSO
2454601.526846 	2451659.481968 	0.41695902	7056	-0.01796712	0.00072	AAVSO
2455276.578269 	2451659.481968 	0.41695902	8675	-0.0231975	0.0022	the literature
2455323.273411 	2451659.481968 	0.41695902	8787	-0.02746574	0.00033	AAVSO
2455710.628877 	2451659.481968 	0.41695902	9716	-0.02692932	0.001	the literature
2455715.630677 	2451659.481968 	0.41695902	9728	-0.02863756	0.0003	the literature
2456372.746893 	2451659.481968 	0.41695902	11304	-0.03983708	0.00099	AAVSO
2456375.675301 	2451659.481968 	0.41695902	11311	-0.03014222	0.00118	AAVSO
2456377.750236 	2451659.481968 	0.41695902	11316	-0.04000232	0.0023	AAVSO
2456378.593423 	2451659.481968 	0.41695902	11318	-0.03073336	0.00155	AAVSO
2456380.672493 	2451659.481968 	0.41695902	11323	-0.03645846	0.0013	AAVSO
2456382.761119 	2451659.481968 	0.41695902	11328	-0.03262756	0.00182	AAVSO
2456383.585512 	2451659.481968 	0.41695902	11330	-0.0421526	0.00143	AAVSO
2456393.614045 	2451659.481968 	0.41695902	11354	-0.02063608	0.00113	AAVSO
2456395.683316 	2451659.481968 	0.41695902	11359	-0.03616018	0.0007	AAVSO
2456397.768486 	2451659.481968 	0.41695902	11364	-0.03578528	0.0001	the literature
2456400.688665 	2451659.481968 	0.41695902	11371	-0.03431942	0.00109	AAVSO
2456403.603379 	2451659.481968 	0.41695902	11378	-0.03831856	0.00045	AAVSO
2456405.695209 	2451659.481968 	0.41695902	11383	-0.03128366	0.0015	AAVSO
2456408.602507 	2451659.481968 	0.41695902	11390	-0.0426988	0.00105	AAVSO
2456410.708697 	2451659.481968 	0.41695902	11395	-0.0213039	0.00138	AAVSO
2456411.534417 	2451659.481968 	0.41695902	11397	-0.02950194	0.0013	AAVSO
2456413.610930 	2451659.481968 	0.41695902	11402	-0.03778404	0.00072	AAVSO
2456418.622745 	2451659.481968 	0.41695902	11414	-0.02947728	0.00096	AAVSO
2456421.533324 	2451659.481968 	0.41695902	11421	-0.03761142	0.00127	AAVSO
2456423.612494 	2451659.481968 	0.41695902	11426	-0.04323652	0.00095	AAVSO
2456441.545874 	2451659.481968 	0.41695902	11469	-0.03909438	0.00223	AAVSO
2456446.557651 	2451659.481968 	0.41695902	11481	-0.03082562	0.0012	AAVSO
2456476.573083 	2451659.481968 	0.41695902	11553	-0.03644306	0.00082	AAVSO
2456484.501348 	2451659.481968 	0.41695902	11572	-0.03039944	0.00111	AAVSO
2457507.698340 	2451659.481968 	0.41695902	14026	-0.05084252	0.00228	AAVSO
2457512.717385 	2451659.481968 	0.41695902	14038	-0.03530576	0.00113	AAVSO
2457525.623254 	2451659.481968 	0.41695902	14069	-0.05516638	0.00188	AAVSO
2457535.624324 	2451659.481968 	0.41695902	14093	-0.06111286	0.00113	AAVSO
2457902.116897 	2451659.481968 	0.41695902	14972	-0.07551844	0.00175	AAVSO
2457902.959690 	2451659.481968 	0.41695902	14974	-0.06664348	0.00077	AAVSO
2457905.036146 	2451659.481968 	0.41695902	14979	-0.07498258	0.00103	AAVSO
2457905.881527 	2451659.481968 	0.41695902	14981	-0.06351962	0.0012	AAVSO
2457907.953076 	2451659.481968 	0.41695902	14986	-0.07676572	0.00045	AAVSO
2458568.834782 	2451659.481968 	0.41695902	16571	-0.07510642	0.00131	AAVSO
2458569.253911 	2451659.481968 	0.41695902	16572	-0.07293644	0.00069	AAVSO
2458569.682940 	2451659.481968 	0.41695902	16573	-0.06086646	0.00129	AAVSO
2458570.082648 	2451659.481968 	0.41695902	16574	-0.07811748	0.00068	AAVSO
2458573.004353 	2451659.481968 	0.41695902	16581	-0.07512562	0.00085	AAVSO
2458575.088548 	2451659.481968 	0.41695902	16586	-0.07572572	0.00081	AAVSO
2458586.758180 	2451659.481968 	0.41695902	16614	-0.08094628	0.0009	AAVSO
2458587.594033 	2451659.481968 	0.41695902	16616	-0.07901132	0.00179	AAVSO
2458588.851468 	2451659.481968 	0.41695902	16619	-0.07245338	0.00103	AAVSO
2458591.762441 	2451659.481968 	0.41695902	16626	-0.08019352	0.0012	AAVSO
2458592.594391 	2451659.481968 	0.41695902	16628	-0.08216156	0.00151	AAVSO
2458593.848779 	2451659.481968 	0.41695902	16631	-0.07865062	0.00141	AAVSO
2458596.770108 	2451659.481968 	0.41695902	16638	-0.07603476	0.00164	AAVSO
2458597.588223 	2451659.481968 	0.41695902	16640	-0.0918378	0.00116	AAVSO
2458598.853055 	2451659.481968 	0.41695902	16643	-0.07788286	0.00235	AAVSO
2458599.688258 	2451659.481968 	0.41695902	16645	-0.0765979	0.00055	AAVSO
2458600.512010 	2451659.481968 	0.41695902	16647	-0.08676394	0.02258	TESS
2458600.918610 	2451659.481968 	0.41695902	16648	-0.09712296	0.00694	TESS
2458601.360430 	2451659.481968 	0.41695902	16649	-0.07226198	0.00295	TESS
2458601.774740 	2451659.481968 	0.41695902	16650	-0.074911	0.00174	TESS
2458602.171860 	2451659.481968 	0.41695902	16651	-0.09475002	0.00951	TESS
2458602.596930 	2451659.481968 	0.41695902	16652	-0.08663904	0.00277	TESS
2458602.980820 	2451659.481968 	0.41695902	16653	-0.11970806	0.00569	TESS
2458603.411840 	2451659.481968 	0.41695902	16654	-0.10564708	0.00432	TESS
2458603.864370 	2451659.481968 	0.41695902	16655	-0.0700761	0.00094	TESS
2458604.275160 	2451659.481968 	0.41695902	16656	-0.07624512	0.00437	TESS
2458604.697470 	2451659.481968 	0.41695902	16657	-0.07089414	0.00156	TESS
2458605.108300 	2451659.481968 	0.41695902	16658	-0.07702316	0.00472	TESS
2458605.525220 	2451659.481968 	0.41695902	16659	-0.07706218	0.00134	TESS
2458605.941150 	2451659.481968 	0.41695902	16660	-0.0780912	0.00256	TESS
